Sample number,batch,date,temperature,bottle,subsample #,start time,start DO,end time,end DO,time elapsed,measured_temperature
1,2,2021-03-11,4,blank ,1,9:39,10.2,15:38,10.28,5:59,3.8
2,2,2021-03-11,4,blank ,2,9:41,10.19,15:32,10.26,5:51,3.8
3,2,2021-03-11,4,blank ,3,9:41,10.26,15:33,10.42,5:52,3.8
4,2,2021-03-11,4,A,1,9:42,9.23,15:34,8.82,5:52,3.8
5,2,2021-03-11,4,A,2,9:43,9.14,15:44,8.98,6:01,3.8
6,2,2021-03-11,4,A,3,9:44,8.83,15:37,8.9,5:53,3.8
7,2,2021-03-11,4,B,1,9:46,9.06,15:42,8.82,5:56,3.8
8,2,2021-03-11,4,B,2,9:47,8.89,15:39,8.88,5:52,3.8
9,2,2021-03-11,4,B,3,9:48,8.97,15:43,8.85,5:55,3.8
10,2,2021-03-11,4,C,1,9:50,9.08,15:35,8.9,5:45,3.8
11,2,2021-03-11,4,C,2,9:51,8.99,15:40,8.63,5:49,3.8
12,2,2021-03-11,4,C,3,9:51,8.92,15:36,8.88,5:45,3.8
13,2,2021-03-11,8,blank ,1,10:09,9.35,15:16,9.52,5:07,7.13
14,2,2021-03-11,8,blank ,2,10:10,9.34,15:09,9.5,4:59,7.13
15,2,2021-03-11,8,blank ,3,10:10,9.28,15:09,9.64,4:59,7.13
16,2,2021-03-11,8,A,1,10:12,9.34,15:10,8.68,4:58,7.13
17,2,2021-03-11,8,A,2,10:12,9.32,15:12,8.11,5:00,7.13
18,2,2021-03-11,8,A,3,10:13,9.33,15:17,8.9,5:04,7.13
19,2,2021-03-11,8,B,1,10:14,9.43,15:18,8.6,5:04,7.13
20,2,2021-03-11,8,B,2,10:16,9.34,15:08,8.91,4:52,7.13
21,2,2021-03-11,8,B,3,10:17,9.35,15:13,8.76,4:56,7.13
22,2,2021-03-11,8,C,1,10:18,9.45,15:14,8.4,4:56,7.13
23,2,2021-03-11,8,C,2,10:18,9.44,15:19,8.83,5:01,7.13
24,2,2021-03-11,8,C,3,10:19,9.43,15:15,8.95,4:56,7.13
25,2,2021-03-11,12,blank ,1,10:34,10.39,14:48,9.92,4:14,11.62
26,2,2021-03-11,12,blank ,2,10:37,8.32,14:53,9.46,4:16,11.62
27,2,2021-03-11,12,blank ,3,10:38,8.41,14:53,8.59,4:15,11.62
28,2,2021-03-11,12,A,1,10:39,10.06,14:42,7.76,4:03,11.62
29,2,2021-03-11,12,A,2,10:41,8.39,14:43,6.98,4:02,11.62
30,2,2021-03-11,12,A,3,10:42,8.36,14:49,7.41,4:07,11.62
31,2,2021-03-11,12,B,1,10:44,8.26,14:47,7.03,4:03,11.62
32,2,2021-03-11,12,B,2,10:45,8.28,14:44,7.73,3:59,11.62
33,2,2021-03-11,12,B,3,10:45,8.28,14:51,7.28,4:06,11.62
34,2,2021-03-11,12,C,1,10:47,8.49,14:52,6.88,4:05,11.62
35,2,2021-03-11,12,C,2,10:48,8.44,14:45,7.21,3:57,11.62
36,2,2021-03-11,12,C,3,10:49,8.39,14:50,7.1,4:01,11.62
37,2,2021-03-11,16,blank ,1,11:00,8.64,14:22,8.84,3:22,16.13
38,2,2021-03-11,16,blank ,2,11:01,8.6,14:12,8.86,3:11,16.13
39,2,2021-03-11,16,blank ,3,11:02,8.62,14:11,8.93,3:09,16.13
40,2,2021-03-11,16,A,1,11:02,8.64,14:22,7.06,3:20,16.13
41,2,2021-03-11,16,A,2,11:03,8.63,14:13,7.96,3:10,16.13
42,2,2021-03-11,16,A,3,11:04,8.64,14:14,7.46,3:10,16.13
43,2,2021-03-11,16,B,1,11:06,8.84,14:15,7.25,3:09,16.13
44,2,2021-03-11,16,B,2,11:06,8.82,14:16,5.82,3:10,16.13
45,2,2021-03-11,16,B,3,11:07,8.8,14:17,7.22,3:10,16.13
46,2,2021-03-11,16,C,1,11:09,8.92,14:19,7.89,3:10,16.13
47,2,2021-03-11,16,C,2,11:10,8.9,14:19,7.61,3:09,16.13
48,2,2021-03-11,16,C,3,11:10,8.88,14:21,7.76,3:11,16.13
49,2,2021-03-11,20,blank ,1,11:20,8.14,13:53,8.37,2:33,19.98
50,2,2021-03-11,20,blank ,2,11:21,8.13,13:50,8.34,2:29,19.98
51,2,2021-03-11,20,blank ,3,11:22,8.12,13:47,8.4,2:25,19.98
52,2,2021-03-11,20,A,1,11:22,8.28,13:43,6.75,2:21,19.98
53,2,2021-03-11,20,A,2,11:23,8.28,13:48,7.07,2:25,19.98
54,2,2021-03-11,20,A,3,11:23,8.28,13:46,7.15,2:23,19.98
55,2,2021-03-11,20,B,1,11:25,8.47,13:51,7.36,2:26,19.98
56,2,2021-03-11,20,B,2,11:26,8.44,13:49,6.79,2:23,19.98
57,2,2021-03-11,20,B,3,11:26,8.36,13:54,6.9,2:28,19.98
58,2,2021-03-11,20,C,1,11:28,8.51,13:52,7.24,2:24,19.98
59,2,2021-03-11,20,C,2,11:28,8.51,13:53,6.7,2:25,19.98
60,2,2021-03-11,20,C,3,11:28,8.37,13:45,7.32,2:17,19.98
1,3,2021-03-18,4,blank ,1,10:54,10.51,16:29,10.6,5:35,4.45
2,3,2021-03-18,4,blank ,2,10:54,10.15,16:21,10.01,5:27,4.45
3,3,2021-03-18,4,blank ,3,10:55,9.61,16:25,9.73,5:30,4.45
4,3,2021-03-18,4,A,1,10:56,9.59,16:35,9.09,5:39,4.45
5,3,2021-03-18,4,A,2,10:57,9.4,16:37,9.04,5:40,4.45
6,3,2021-03-18,4,A,3,10:58,9.22,16:33,8.91,5:35,4.45
7,3,2021-03-18,4,B,1,11:00,9.32,16:27,8.39,5:27,4.45
8,3,2021-03-18,4,B,2,11:01,9.15,16:38,8.68,5:37,4.45
9,3,2021-03-18,4,B,3,11:02,8.94,16:24,8.97,5:22,4.45
10,3,2021-03-18,4,C,1,11:04,9.04,16:34,8.58,5:30,4.45
11,3,2021-03-18,4,C,2,11:06,8.91,16:22,8.45,5:16,4.45
12,3,2021-03-18,4,C,3,11:06,9.02,16:28,8.74,5:22,4.45
13,3,2021-03-18,8,blank ,1,11:20,8.64,16:06,8.78,4:46,7.68
14,3,2021-03-18,8,blank ,2,11:21,8.55,16:01,8.67,4:40,7.68
15,3,2021-03-18,8,blank ,3,11:21,8.54,15:59,8.73,4:38,7.68
16,3,2021-03-18,8,A,1,11:23,8.54,15:56,8.12,4:33,7.68
17,3,2021-03-18,8,A,2,11:23,8.54,15:58,7.8,4:35,7.68
18,3,2021-03-18,8,A,3,11:24,8.56,16:00,7.72,4:36,7.68
19,3,2021-03-18,8,B,1,11:26,8.58,16:02,8.24,4:36,7.68
20,3,2021-03-18,8,B,2,11:26,8.64,16:05,8.37,4:39,7.68
21,3,2021-03-18,8,B,3,11:27,8.63,16:07,8.27,4:40,7.68
22,3,2021-03-18,8,C,1,11:29,8.65,15:55,7.86,4:26,7.68
23,3,2021-03-18,8,C,2,11:29,8.64,16:08,8.19,4:39,7.68
24,3,2021-03-18,8,C,3,11:30,8.64,16:03,8.4,4:33,7.68
25,3,2021-03-18,12,blank ,1,11:41,9.15,15:43,9.02,4:02,11.53
26,3,2021-03-18,12,blank ,2,11:41,9.1,15:42,8.98,4:01,11.53
27,3,2021-03-18,12,blank ,3,11:42,9.08,15:44,9.01,4:02,11.53
28,3,2021-03-18,12,A,1,11:43,9.14,15:40,7.3,3:57,11.53
29,3,2021-03-18,12,A,2,11:44,9.1,15:41,8.09,3:57,11.53
30,3,2021-03-18,12,A,3,11:44,9.06,15:36,8.13,3:52,11.53
31,3,2021-03-18,12,B,1,11:47,9.14,15:35,7.94,3:48,11.53
32,3,2021-03-18,12,B,2,11:47,9.08,15:37,8.18,3:50,11.53
33,3,2021-03-18,12,B,3,11:48,9.06,15:34,7.93,3:46,11.53
34,3,2021-03-18,12,C,1,11:50,9.18,15:38,7.38,3:48,11.53
35,3,2021-03-18,12,C,2,11:51,9.12,15:33,8.3,3:42,11.53
36,3,2021-03-18,12,C,3,11:52,9.09,15:39,8.38,3:47,11.53
37,3,2021-03-18,16,blank ,1,12:06,8.54,15:23,8.5,3:17,16.51
38,3,2021-03-18,16,blank ,2,12:07,8.45,15:23,8.48,3:16,16.51
39,3,2021-03-18,16,blank ,3,12:08,8.45,15:14,8.5,3:06,16.51
40,3,2021-03-18,16,A,1,12:09,8.5,15:21,6.91,3:12,16.51
41,3,2021-03-18,16,A,2,12:10,8.48,15:13,6.53,3:03,16.51
42,3,2021-03-18,16,A,3,12:10,8.54,15:19,6.99,3:09,16.51
43,3,2021-03-18,16,B,1,12:13,8.6,15:20,7.45,3:07,16.51
44,3,2021-03-18,16,B,2,12:13,8.5,15:11,6.75,2:58,16.51
45,3,2021-03-18,16,B,3,12:14,8.5,15:15,6.7,3:01,16.51
46,3,2021-03-18,16,C,1,12:16,8.6,15:18,6.65,3:02,16.51
47,3,2021-03-18,16,C,2,12:16,8.57,15:09,7.7,2:53,16.51
48,3,2021-03-18,16,C,3,12:17,8.52,15:16,7.42,2:59,16.51
