sample,sample.day,sample.mo,sample.yr,sample.date,stream,reach,meter,wet.width.cm,Depth.1.cm,Depth.2.cm,Depth.3.cm
wetted.width,18,10,2017,2017-10-18,WS55,1,5,100,0.5,1.2,2
wetted.width,18,10,2017,2017-10-18,WS55,2,22,71,1.5,0.5,0.5
wetted.width,18,10,2017,2017-10-18,WS55,3,28,142,0.2,5,1.5
wetted.width,18,10,2017,2017-10-18,WS55,4,75,41,0.1,2,1
wetted.width,18,10,2017,2017-10-18,WS55,5,49,200,0.5,0.1,0.1
wetted.width,18,10,2017,2017-10-18,WS55,6,87,279,1,0.5,2
wetted.width,18,10,2017,2017-10-18,WS55,7,98,291,2,1,2
wetted.width,18,10,2017,2017-10-18,WS55,8,116,69,2.5,1,1.5
wetted.width,18,10,2017,2017-10-18,WS55,9,127,128,2,1,0.1
wetted.width,18,10,2017,2017-10-18,WS55,10,137,55,1.5,0.1,0.1
wetted.width,20,11,2017,2017-11-20,WS55,1,7,155,1,0.5,2
wetted.width,20,11,2017,2017-11-20,WS55,2,26,146,1,2,1
wetted.width,20,11,2017,2017-11-20,WS55,3,34,204,1,0.5,1
wetted.width,20,11,2017,2017-11-20,WS55,4,43,160,0.1,0.5,3
wetted.width,20,11,2017,2017-11-20,WS55,5,79,215,1,2,0.5
wetted.width,20,11,2017,2017-11-20,WS55,6,93,300,0.5,0.5,2
wetted.width,20,11,2017,2017-11-20,WS55,7,103,154,0.5,1,0.5
wetted.width,20,11,2017,2017-11-20,WS55,8,115,35,0.2,0.5,0.2
wetted.width,20,11,2017,2017-11-20,WS55,9,127,130,1,0.5,1
wetted.width,20,11,2017,2017-11-20,WS55,10,145,130,0.5,0.2,0.2
wetted.width,18,12,2017,2017-12-18,WS55,1,12,90,0.2,1,3
wetted.width,18,12,2017,2017-12-18,WS55,2,14,180,2.5,1,0.5
wetted.width,18,12,2017,2017-12-18,WS55,3,35,225,1,0.3,1
wetted.width,18,12,2017,2017-12-18,WS55,4,46,145,1,0.2,0.1
wetted.width,18,12,2017,2017-12-18,WS55,5,54,73,2,2,2
wetted.width,18,12,2017,2017-12-18,WS55,6,90,200,1.5,0.1,2.2
wetted.width,18,12,2017,2017-12-18,WS55,7,104,100,0.5,2,3.5
wetted.width,18,12,2017,2017-12-18,WS55,8,111,44,1.5,0.5,0.1
wetted.width,18,12,2017,2017-12-18,WS55,9,123,85,0.05,0.05,0.05
wetted.width,18,12,2017,2017-12-18,WS55,10,134,90,0.5,3.75,2
wetted.width,16,1,2018,2018-01-16,WS55,1,10,100,0.1,0.2,0.1
wetted.width,16,1,2018,2018-01-16,WS55,2,22,175,2,4.6,2
wetted.width,16,1,2018,2018-01-16,WS55,3,38,113,1.7,2.9,2
wetted.width,16,1,2018,2018-01-16,WS55,4,47,187,0.3,0.2,0.7
wetted.width,16,1,2018,2018-01-16,WS55,5,53,68,7,2.9,2.8
wetted.width,16,1,2018,2018-01-16,WS55,6,87,328,0.6,0.7,1.6
wetted.width,16,1,2018,2018-01-16,WS55,7,106,163,2.4,2.6,1.3
wetted.width,16,1,2018,2018-01-16,WS55,8,108,139,2.6,1,2
wetted.width,16,1,2018,2018-01-16,WS55,9,126,42,1.5,0.8,0.4
wetted.width,16,1,2018,2018-01-16,WS55,10,143,114,1.5,2,2.8
wetted.width,12,2,2018,2018-02-12,WS55,1,13,110,11,11,2
wetted.width,12,2,2018,2018-02-12,WS55,2,15,310,5,2,2
wetted.width,12,2,2018,2018-02-12,WS55,3,32,90,4,6,9
wetted.width,12,2,2018,2018-02-12,WS55,4,43,430,4,5,2
wetted.width,12,2,2018,2018-02-12,WS55,5,78,160,7,6,4
wetted.width,12,2,2018,2018-02-12,WS55,6,89,210,7,3.5,6
wetted.width,12,2,2018,2018-02-12,WS55,7,98,340,4,6,3
wetted.width,12,2,2018,2018-02-12,WS55,8,114,50,4,6,4
wetted.width,12,2,2018,2018-02-12,WS55,9,121,120,8,7,1
wetted.width,12,2,2018,2018-02-12,WS55,10,142,160,4,3,2
wetted.width,12,3,2018,2018-03-12,WS55,1,4,100,6,1,0.5
wetted.width,12,3,2018,2018-03-12,WS55,2,24,150,2,3,0.5
wetted.width,12,3,2018,2018-03-12,WS55,3,36,270,1.5,3,4
wetted.width,12,3,2018,2018-03-12,WS55,4,41,150,2,2.5,1
wetted.width,12,3,2018,2018-03-12,WS55,5,75,120,3,3,2
wetted.width,12,3,2018,2018-03-12,WS55,6,85,282,2.5,3,4
wetted.width,12,3,2018,2018-03-12,WS55,7,100,223,2,4,3
