sample type,analyte,sample.day,sample.month,sample.year,sample.date,stream,stream.location,original.concentration.ugL,,analysis.lab,convert.concentration.ugl
nutrients,NO3,5,1,2021,2021-01-05,towr,flume,0,blue,,
nutrients,NO3,4,2,2021,2021-02-04,ws55,flume,0,blue,,
nutrients,NO3,4,3,2021,2021-03-04,ws55,flume,0,blue,,
nutrients,SRP,8,6,2021,2021-06-08,ws55,flume,0,blue,,
nutrients,SRP,31,5,2021,2021-05-31,ws55,flume,0,white,,
nutrients,NH4,15,1,2018,2018-01-15,towr,flume,0,,CAIS,0
nutrients,NH4,15,1,2018,2018-01-15,ws55,flume,0,,CAIS,0
nutrients,NH4,29,1,2018,2018-01-29,towr,flume,0,,CAIS,0
nutrients,NH4,12,2,2018,2018-02-12,ws55,flume,0,,CAIS,0
nutrients,NH4,16,7,2018,2018-07-16,towr,flume,0,,ESL,0
nutrients,NH4,3,10,2018,2018-10-03,towr,flume,0,,CAIS,0
nutrients,NH4,20,11,2018,2018-11-20,towr,flume,0,,CAIS,0
nutrients,NO3,20,11,2018,2018-11-20,towr,flume,0,,CAIS,0
nutrients,NH4,20,11,2018,2018-11-20,ws55,flume,0,,CAIS,0
nutrients,NO3,3,12,2018,2018-12-03,ws55,flume,0,,CAIS,0
nutrients,NO3,18,12,2018,2018-12-18,towr,flume,0,,CAIS,0
nutrients,NO3,18,12,2018,2018-12-18,ws55,flume,0,,CAIS,0
nutrients,SRP,1,2,2019,2019-02-01,towr,flume,0,,CAIS,0
nutrients,NO3,10,4,2019,2019-04-10,towr,flume,0,,CAIS,0
nutrients,NO3,29,5,2019,2019-05-29,towr,flume,0,,CAIS,0
nutrients,NH4,11,10,2019,2019-10-11,towr,flume,0,,,
nutrients,NH4,8,11,2019,2019-11-08,towr,flume,0,,,
nutrients,NH4,8,11,2019,2019-11-08,ws55,flume,0,,,
nutrients,NH4,22,11,2019,2019-11-22,ws55,flume,0,,,
nutrients,NO3,9,12,2019,2019-12-09,towr,flume,0,,,
nutrients,NH4,18,12,2019,2019-12-18,towr,flume,0,,,
nutrients,NH4,18,12,2019,2019-12-18,ws55,flume,0,,,
nutrients,NH4,21,2,2020,2020-02-21,towr,flume,0,,,
nutrients,NH4,21,2,2020,2020-02-21,ws55,flume,0,,,
nutrients,NH4,6,3,2020,2020-03-06,towr,flume,0,,,
nutrients,NH4,6,3,2020,2020-03-06,ws55,flume,0,,,
nutrients,NH4,20,3,2020,2020-03-20,towr,flume,0,,,
nutrients,NH4,20,3,2020,2020-03-20,ws55,flume,0,,,
nutrients,NH4,7,4,2020,2020-04-07,towr,flume,0,,,
nutrients,NH4,7,4,2020,2020-04-07,ws55,flume,0,,,
nutrients,NH4,24,4,2020,2020-04-24,ws55,flume,0,,,
nutrients,NH4,26,5,2020,2020-05-26,ws55,flume,0,,,
nutrients,NO3,26,5,2020,2020-05-26,ws55,flume,0,,,
nutrients,NH4,23,6,2020,2020-06-23,towr,flume,0,,,
nutrients,NH4,7,7,2020,2020-07-07,towr,flume,0,,,
nutrients,NH4,21,7,2020,2020-07-21,towr,flume,0,,,
nutrients,NH4,4,8,2020,2020-08-04,towr,flume,0,,,
nutrients,NH4,4,8,2020,2020-08-04,ws55,flume,0,,,
nutrients,SRP,8,9,2020,2020-09-08,ws55,flume,0,,,
nutrients,NH4,6,10,2020,2020-10-06,towr,flume,0,,,
nutrients,NH4,6,10,2020,2020-10-06,ws55,flume,0,,,
nutrients,NH4,20,10,2020,2020-10-20,towr,flume,0,,,
nutrients,NO3,20,10,2020,2020-10-20,towr,flume,0,,,
nutrients,NH4,17,11,2020,2020-11-17,towr,flume,0,,,
nutrients,NO3,15,12,2020,2020-12-15,towr,flume,0,,,
nutrients,NO3,15,12,2020,2020-12-15,ws55,flume,0,,,
nutrients,NH4,4,2,2021,2021-02-04,towr,flume,0,,,
nutrients,NH4,4,3,2021,2021-03-04,ws55,flume,0,,,
nutrients,NH4,16,3,2021,2021-03-16,towr,flume,0,,,
nutrients,NH4,16,3,2021,2021-03-16,ws55,flume,0,,,
nutrients,NH4,9,8,2021,2021-08-09,towr,flume,0,,,
nutrients,NH4,9,8,2021,2021-08-09,ws55,flume,0,,,
nutrients,NO3,21,1,2021,2021-01-21,towr,seep,0,white,,
nutrients,NH4,4,3,2021,2021-03-04,towr,seep,0,white,,
nutrients,NH4,19,9,2018,2018-09-19,towr,seep,0,,CAIS,0
nutrients,NH4,3,10,2018,2018-10-03,ws55,seep,0,,CAIS,0
nutrients,NH4,20,11,2018,2018-11-20,towr,seep,0,,CAIS,0
nutrients,NO3,20,11,2018,2018-11-20,towr,seep,0,,CAIS,0
nutrients,NH4,20,11,2018,2018-11-20,ws55,seep,0,,CAIS,0
nutrients,NO3,20,11,2018,2018-11-20,ws55,seep,0,,CAIS,0
nutrients,SRP,3,12,2018,2018-12-03,towr,seep,0,,CAIS,0
nutrients,NH4,3,12,2018,2018-12-03,ws55,seep,0,,CAIS,0
nutrients,NO3,18,12,2018,2018-12-18,ws55,seep,0,,CAIS,0
nutrients,NH4,15,1,2019,2019-01-15,towr,seep,0,,CAIS,0
nutrients,NO3,15,1,2019,2019-01-15,ws55,seep,0,,CAIS,0
nutrients,SRP,1,2,2019,2019-02-01,towr,seep,0,,CAIS,0
nutrients,NO3,1,2,2019,2019-02-01,ws55,seep,0,,CAIS,0
nutrients,SRP,1,2,2019,2019-02-01,ws55,seep,0,,CAIS,0
nutrients,NH4,19,2,2019,2019-02-19,towr,seep,0,,CAIS,0
nutrients,NH4,19,2,2019,2019-02-19,ws55,seep,0,,CAIS,0
nutrients,NO3,5,3,2019,2019-03-05,ws55,seep,0,,CAIS,0
nutrients,NO3,18,3,2019,2019-03-18,towr,seep,0,,CAIS,0
nutrients,NO3,10,4,2019,2019-04-10,ws55,seep,0,,CAIS,0
nutrients,NH4,24,4,2019,2019-04-24,towr,seep,0,,CAIS,0
nutrients,NO3,24,4,2019,2019-04-24,towr,seep,0,,CAIS,0
nutrients,NO3,5,5,2019,2019-05-05,towr,seep,0,,CAIS,0
nutrients,NH4,17,5,2019,2019-05-17,towr,seep,0,,CAIS,0
nutrients,NH4,29,5,2019,2019-05-29,ws55,seep,0,,CAIS,0
nutrients,NO3,29,5,2019,2019-05-29,ws55,seep,0,,CAIS,0
nutrients,NO3,12,6,2019,2019-06-12,ws55,seep,0,,CAIS,0
nutrients,NO3,11,7,2019,2019-07-11,towr,seep,0,,CAIS,0
nutrients,NO3,6,9,2019,2019-09-06,towr,seep,0,,CAIS,0
