date,stream,meter,width.cm
2021-01-26,warm,0,114
2021-01-26,warm,10,23
2021-01-26,warm,20,96
2021-01-26,warm,30,89
2021-01-26,warm,40,146
2021-01-26,warm,50,88
2021-01-26,warm,60,78
2021-01-26,warm,70,
2021-01-26,warm,80,123
2021-01-26,warm,90,107
2021-01-26,warm,100,117
2021-01-26,ref,0,56
2021-01-26,ref,10,81
2021-01-26,ref,20,212
2021-01-26,ref,30,161
2021-01-26,ref,40,216
2021-01-26,ref,50,40
2021-01-26,ref,60,93
2021-01-26,ref,70,
2021-01-26,ref,80,162
2021-01-26,ref,90,265
2021-01-26,ref,100,242
2021-01-28,warm,0,112
2021-01-28,warm,10,42
2021-01-28,warm,20,100
2021-01-28,warm,30,73
2021-01-28,warm,40,147
2021-01-28,warm,50,83
2021-01-28,warm,60,80
2021-01-28,warm,70,
2021-01-28,warm,80,88
2021-01-28,warm,90,111
2021-01-28,warm,100,126
2021-01-28,ref,0,64
2021-01-28,ref,10,70
2021-01-28,ref,20,200
2021-01-28,ref,30,140
2021-01-28,ref,40,188
2021-01-28,ref,50,50
2021-01-28,ref,60,
2021-01-28,ref,70,
2021-01-28,ref,80,141
2021-01-28,ref,90,260
2021-01-28,ref,100,250
2021-02-04,warm,0,
2021-02-04,warm,10,54
2021-02-04,warm,20,107
2021-02-04,warm,30,84
2021-02-04,warm,40,149
2021-02-04,warm,50,80
2021-02-04,warm,60,78
2021-02-04,warm,70,
2021-02-04,warm,80,123
2021-02-04,warm,90,126
2021-02-04,warm,100,161
2021-02-04,ref,0,67
2021-02-04,ref,10,
2021-02-04,ref,20,141
2021-02-04,ref,30,117
2021-02-04,ref,40,173
2021-02-04,ref,50,29
2021-02-04,ref,60,
2021-02-04,ref,70,
2021-02-04,ref,80,147
2021-02-04,ref,90,286
2021-02-04,ref,100,233
2021-02-09,warm,0,125
2021-02-09,warm,10,34
2021-02-09,warm,20,127
2021-02-09,warm,30,75
2021-02-09,warm,40,103
2021-02-09,warm,50,79
2021-02-09,warm,60,81
2021-02-09,warm,70,
2021-02-09,warm,80,91
2021-02-09,warm,90,123
2021-02-09,warm,100,111
2021-02-09,ref,0,71
2021-02-09,ref,10,139
2021-02-09,ref,20,154
2021-02-09,ref,30,187
2021-02-09,ref,40,177
2021-02-09,ref,50,35
2021-02-09,ref,60,
2021-02-09,ref,70,
2021-02-09,ref,80,152
2021-02-09,ref,90,278
2021-02-09,ref,100,262
2021-02-16,warm,0,111
2021-02-16,warm,10,47
2021-02-16,warm,20,123
2021-02-16,warm,30,92
2021-02-16,warm,40,133
2021-02-16,warm,50,81
2021-02-16,warm,60,88
2021-02-16,warm,70,
2021-02-16,warm,80,93
2021-02-16,warm,90,131
2021-02-16,warm,100,117
2021-02-16,ref,0,75
2021-02-16,ref,10,157
2021-02-16,ref,20,152
2021-02-16,ref,30,180
2021-02-16,ref,40,178
2021-02-16,ref,50,0
2021-02-16,ref,60,
2021-02-16,ref,70,
2021-02-16,ref,80,138
2021-02-16,ref,90,295
2021-02-16,ref,100,280
2021-02-25,warm,0,124
2021-02-25,warm,10,161
2021-02-25,warm,20,137
2021-02-25,warm,30,93
2021-02-25,warm,40,138
2021-02-25,warm,50,103
2021-02-25,warm,60,72
2021-02-25,warm,70,
2021-02-25,warm,80,120
2021-02-25,warm,90,125
2021-02-25,warm,100,116
2021-02-25,ref,0,61
2021-02-25,ref,10,98
2021-02-25,ref,20,92
2021-02-25,ref,30,155
2021-02-25,ref,40,144
2021-02-25,ref,50,0
2021-02-25,ref,60,24
2021-02-25,ref,70,
2021-02-25,ref,80,118
2021-02-25,ref,90,268
2021-02-25,ref,100,313
2021-03-02,warm,0,127
2021-03-02,warm,10,44
2021-03-02,warm,20,118
2021-03-02,warm,30,83
2021-03-02,warm,40,126
2021-03-02,warm,50,86
2021-03-02,warm,60,85
2021-03-02,warm,70,
2021-03-02,warm,80,103
2021-03-02,warm,90,134
2021-03-02,warm,100,114
2021-03-02,ref,0,69
2021-03-02,ref,10,115
2021-03-02,ref,20,156
2021-03-02,ref,30,177
2021-03-02,ref,40,173
2021-03-02,ref,50,0
2021-03-02,ref,60,126
2021-03-02,ref,70,
2021-03-02,ref,80,164
2021-03-02,ref,90,280
2021-03-02,ref,100,316
2021-03-04,warm,0,119
2021-03-04,warm,10,51
2021-03-04,warm,20,102
2021-03-04,warm,30,92
2021-03-04,warm,40,122
2021-03-04,warm,50,89
2021-03-04,warm,60,83
2021-03-04,warm,70,
2021-03-04,warm,80,117
2021-03-04,warm,90,114
2021-03-04,warm,100,130
2021-03-04,ref,0,71
2021-03-04,ref,10,147
2021-03-04,ref,20,137
2021-03-04,ref,30,192
2021-03-04,ref,40,190
2021-03-04,ref,50,0
2021-03-04,ref,60,90
2021-03-04,ref,70,
2021-03-04,ref,80,157
2021-03-04,ref,90,262
2021-03-04,ref,100,292
2021-03-09,warm,0,119
2021-03-09,warm,10,25
2021-03-09,warm,20,102
2021-03-09,warm,30,77
2021-03-09,warm,40,116
2021-03-09,warm,50,78
2021-03-09,warm,60,81
2021-03-09,warm,70,
2021-03-09,warm,80,126
2021-03-09,warm,90,127
2021-03-09,warm,100,118
2021-03-09,ref,0,71
2021-03-09,ref,10,154
2021-03-09,ref,20,143
2021-03-09,ref,30,157
2021-03-09,ref,40,147
2021-03-09,ref,50,0
2021-03-09,ref,60,88
2021-03-09,ref,70,
2021-03-09,ref,80,148
2021-03-09,ref,90,146
2021-03-09,ref,100,250
