"","date","time","stream","m","temp","time2"
"1",2021-01-26,"0:00","c55","0",10.98,"00:00"
"2",2021-01-26,"0:15","c55","0",11.029,"00:15"
"3",2021-01-26,"0:30","c55","0",11.053,"00:30"
"4",2021-01-26,"0:45","c55","0",11.053,"00:45"
"5",2021-01-26,"1:00","c55","0",11.053,"01:00"
"6",2021-01-26,"1:15","c55","0",11.053,"01:15"
"7",2021-01-26,"1:30","c55","0",11.053,"01:30"
"8",2021-01-26,"1:45","c55","0",11.078,"01:45"
"9",2021-01-26,"2:00","c55","0",11.102,"02:00"
"10",2021-01-26,"2:15","c55","0",11.102,"02:15"
"11",2021-01-26,"2:30","c55","0",11.127,"02:30"
"12",2021-01-26,"2:45","c55","0",11.127,"02:45"
"13",2021-01-26,"3:00","c55","0",11.127,"03:00"
"14",2021-01-26,"3:15","c55","0",11.127,"03:15"
"15",2021-01-26,"3:30","c55","0",11.127,"03:30"
"16",2021-01-26,"3:45","c55","0",11.151,"03:45"
"17",2021-01-26,"4:00","c55","0",11.151,"04:00"
"18",2021-01-26,"4:15","c55","0",11.175,"04:15"
"19",2021-01-26,"4:30","c55","0",11.2,"04:30"
"20",2021-01-26,"4:45","c55","0",11.224,"04:45"
"21",2021-01-26,"5:00","c55","0",11.248,"05:00"
"22",2021-01-26,"5:15","c55","0",11.248,"05:15"
"23",2021-01-26,"5:30","c55","0",11.273,"05:30"
"24",2021-01-26,"5:45","c55","0",11.297,"05:45"
"25",2021-01-26,"6:00","c55","0",11.297,"06:00"
"26",2021-01-26,"6:15","c55","0",11.297,"06:15"
"27",2021-01-26,"6:30","c55","0",11.297,"06:30"
"28",2021-01-26,"6:45","c55","0",11.297,"06:45"
"29",2021-01-26,"7:00","c55","0",11.273,"07:00"
"30",2021-01-26,"7:15","c55","0",11.273,"07:15"
"31",2021-01-26,"7:30","c55","0",11.248,"07:30"
"32",2021-01-26,"7:45","c55","0",11.248,"07:45"
"33",2021-01-26,"8:00","c55","0",11.248,"08:00"
"34",2021-01-26,"8:15","c55","0",11.248,"08:15"
"35",2021-01-26,"8:30","c55","0",11.224,"08:30"
"36",2021-01-26,"8:45","c55","0",11.224,"08:45"
"37",2021-01-26,"9:00","c55","0",11.224,"09:00"
"38",2021-01-26,"9:15","c55","0",11.224,"09:15"
"39",2021-01-26,"9:30","c55","0",11.224,"09:30"
"40",2021-01-26,"9:45","c55","0",11.224,"09:45"
"41",2021-01-26,"10:00","c55","0",11.248,"10:00"
"42",2021-01-26,"10:15","c55","0",11.273,"10:15"
"43",2021-01-26,"10:30","c55","0",11.297,"10:30"
"44",2021-01-26,"10:45","c55","0",11.37,"10:45"
"45",2021-01-26,"11:00","c55","0",11.394,"11:00"
"46",2021-01-26,"11:15","c55","0",11.419,"11:15"
"47",2021-01-26,"11:30","c55","0",11.419,"11:30"
"48",2021-01-26,"11:45","c55","0",11.443,"11:45"
"49",2021-01-26,"12:00","c55","0",11.467,"12:00"
"50",2021-01-26,"12:15","c55","0",11.492,"12:15"
"51",2021-01-26,"12:30","c55","0",11.54,"12:30"
"52",2021-01-26,"12:45","c55","0",11.565,"12:45"
"53",2021-01-26,"13:00","c55","0",11.565,"13:00"
"54",2021-01-26,"13:15","c55","0",11.589,"13:15"
"55",2021-01-26,"13:30","c55","0",11.589,"13:30"
"56",2021-01-26,"13:45","c55","0",11.637,"13:45"
"57",2021-01-26,"14:00","c55","0",11.662,"14:00"
"58",2021-01-26,"14:15","c55","0",11.662,"14:15"
"59",2021-01-26,"14:30","c55","0",11.662,"14:30"
"60",2021-01-26,"14:45","c55","0",11.662,"14:45"
"61",2021-01-26,"15:00","c55","0",11.637,"15:00"
"62",2021-01-26,"15:15","c55","0",11.613,"15:15"
"63",2021-01-26,"15:30","c55","0",11.589,"15:30"
"64",2021-01-26,"15:45","c55","0",11.565,"15:45"
"65",2021-01-26,"16:00","c55","0",11.54,"16:00"
"66",2021-01-26,"16:15","c55","0",11.54,"16:15"
"67",2021-01-26,"16:30","c55","0",11.516,"16:30"
"68",2021-01-26,"16:45","c55","0",11.492,"16:45"
"69",2021-01-26,"17:00","c55","0",11.467,"17:00"
"70",2021-01-26,"17:15","c55","0",11.443,"17:15"
"71",2021-01-26,"17:30","c55","0",11.394,"17:30"
"72",2021-01-26,"17:45","c55","0",11.37,"17:45"
"73",2021-01-26,"18:00","c55","0",11.346,"18:00"
"74",2021-01-26,"18:15","c55","0",11.321,"18:15"
"75",2021-01-26,"18:30","c55","0",11.273,"18:30"
"76",2021-01-26,"18:45","c55","0",11.248,"18:45"
"77",2021-01-26,"19:00","c55","0",11.2,"19:00"
"78",2021-01-26,"19:15","c55","0",11.151,"19:15"
"79",2021-01-26,"19:30","c55","0",11.102,"19:30"
"80",2021-01-26,"19:45","c55","0",11.078,"19:45"
"81",2021-01-26,"20:00","c55","0",11.029,"20:00"
"82",2021-01-26,"20:15","c55","0",11.005,"20:15"
"83",2021-01-26,"20:30","c55","0",10.956,"20:30"
"84",2021-01-26,"20:45","c55","0",10.932,"20:45"
