date,stream,meter,bg.plt,sample.id,po4.p.ug.L
2021-01-26,ref,0,bkd,1,2.04
2021-01-26,ref,0,plt,6,0.76
2021-01-26,ref,0,plt,7,2.37
2021-01-26,ref,0,plt,8,2.37
2021-01-28,ref,0,bkd,63,0
2021-01-28,ref,0,plt,68,3.09
2021-01-28,ref,0,plt,69,2.31
2021-01-28,ref,0,plt,70,2.43
2021-02-04,ref,0,bkd,105,0
2021-02-04,ref,0,plt,110,0.78
2021-02-04,ref,0,plt,111,1.42
2021-02-04,ref,0,plt,112,0.89
2021-02-09,ref,0,bkd,147,1.7
2021-02-09,ref,0,plt,152,1.18
2021-02-09,ref,0,plt,153,0.6
2021-02-09,ref,0,plt,154,0.89
2021-02-25,ref,0,bkd,187,1.4
2021-02-25,ref,0,plt,192,0.55
2021-02-25,ref,0,plt,193,0.35
2021-02-25,ref,0,plt,194,0.35
2021-03-02,ref,0,bkd,227,0
2021-03-02,ref,0,plt,232,0
2021-03-02,ref,0,plt,233,0
2021-03-02,ref,0,plt,234,0
2021-03-04,ref,0,bkd,267,0.36
2021-03-04,ref,0,plt,272,0
2021-03-04,ref,0,plt,273,0
2021-03-04,ref,0,plt,274,0
2021-03-09,ref,0,bkd,307,0
2021-03-09,ref,0,plt,312,0
2021-03-09,ref,0,plt,313,0
2021-03-09,ref,0,plt,314,0
2021-02-16,ref,0,bkd,21,2.99
2021-02-16,ref,0,plt,26,2.48
2021-02-16,ref,0,plt,27,3.35
2021-02-16,ref,0,plt,28,2.47
2021-03-02,ref,0,bkd,47,1.17
2021-03-02,ref,0,plt,52,1.21
2021-03-02,ref,0,plt,53,1.85
2021-03-02,ref,0,plt,54,2.48
2021-03-04,ref,0,bkd,68,2.75
2021-03-04,ref,0,plt,73,2.16
2021-03-04,ref,0,plt,74,2.82
2021-03-04,ref,0,plt,75,2.82
2021-03-09,ref,0,bkd,90,2.98
2021-03-09,ref,0,plt,95,1.28
2021-03-09,ref,0,plt,96,2.04
2021-03-09,ref,0,plt,97,2.5
2021-01-26,ref,20,bkd,2,2.25
2021-01-26,ref,20,plt,9,2.68
2021-01-26,ref,20,plt,10,10.54
2021-01-26,ref,20,plt,11,1.4
2021-01-28,ref,20,bkd,64,0
2021-01-28,ref,20,plt,71,2.79
2021-01-28,ref,20,plt,72,2.54
2021-01-28,ref,20,plt,73,2.81
2021-02-04,ref,20,bkd,106,0.35
2021-02-04,ref,20,plt,113,0.12
2021-02-04,ref,20,plt,114,0.66
2021-02-04,ref,20,plt,115,0.25
2021-02-09,ref,20,bkd,148,1.81
2021-02-09,ref,20,plt,155,0.28
2021-02-09,ref,20,plt,156,0.09
2021-02-09,ref,20,plt,157,0.46
2021-02-25,ref,20,bkd,188,1.79
2021-02-25,ref,20,plt,195,0
2021-02-25,ref,20,plt,196,0
2021-02-25,ref,20,plt,197,0
2021-03-02,ref,20,bkd,228,0
2021-03-02,ref,20,plt,235,0
2021-03-02,ref,20,plt,236,0
2021-03-02,ref,20,plt,237,0
2021-03-04,ref,20,bkd,268,0
2021-03-04,ref,20,plt,275,0.03
2021-03-04,ref,20,plt,276,0
2021-03-04,ref,20,plt,277,0
2021-03-09,ref,20,bkd,308,0
2021-03-09,ref,20,plt,315,0
2021-03-09,ref,20,plt,316,0
2021-03-09,ref,20,plt,317,0
2021-02-16,ref,20,bkd,22,2.09
2021-02-16,ref,20,plt,29,5.05
2021-02-16,ref,20,plt,30,3.57
2021-02-16,ref,20,plt,31,4.18
2021-02-25,ref,20,plt,41,3.62
2021-02-25,ref,20,plt,42,3.18
2021-02-25,ref,20,plt,43,3.08
2021-03-02,ref,20,bkd,48,1.36
2021-03-02,ref,20,plt,55,2.38
2021-03-02,ref,20,plt,56,2.5
2021-03-02,ref,20,plt,57,3.3
2021-03-04,ref,20,bkd,69,3.16
2021-03-04,ref,20,plt,76,3.32
2021-03-04,ref,20,plt,77,3.06
2021-03-04,ref,20,plt,78,3.66
2021-03-09,ref,20,bkd,91,2.7
2021-03-09,ref,20,plt,98,2.77
2021-03-09,ref,20,plt,99,2.4
2021-03-09,ref,20,plt,100,2.98
2021-01-26,ref,40,bkd,3,2.04
2021-01-26,ref,40,plt,12,1.67
2021-01-26,ref,40,plt,13,2.02
2021-01-26,ref,40,plt,14,1.4
2021-01-28,ref,40,bkd,65,0
2021-01-28,ref,40,plt,74,3.98
2021-01-28,ref,40,plt,75,4.58
2021-01-28,ref,40,plt,76,3.94
2021-02-04,ref,40,bkd,107,0.95
2021-02-04,ref,40,plt,116,2.37
2021-02-04,ref,40,plt,117,2.52
2021-02-04,ref,40,plt,118,2.35
2021-02-09,ref,40,bkd,149,1.09
2021-02-09,ref,40,plt,158,0.55
2021-02-09,ref,40,plt,159,7.85
2021-02-09,ref,40,plt,160,1.54
2021-02-25,ref,40,bkd,189,1.74
2021-02-25,ref,40,plt,198,0
2021-02-25,ref,40,plt,199,0
2021-02-25,ref,40,plt,200,0
2021-03-02,ref,40,bkd,229,0
2021-03-02,ref,40,plt,238,0.78
2021-03-02,ref,40,plt,239,0.15
2021-03-02,ref,40,plt,240,0.62
2021-03-04,ref,40,bkd,269,0
2021-03-04,ref,40,plt,278,0
2021-03-04,ref,40,plt,279,0
2021-03-04,ref,40,plt,280,0
2021-03-09,ref,40,bkd,309,0
2021-03-09,ref,40,plt,318,0.34
2021-03-09,ref,40,plt,319,0
2021-03-09,ref,40,plt,320,0
2021-02-16,ref,40,bkd,23,3.23
2021-02-16,ref,40,plt,32,3.91
2021-02-16,ref,40,plt,33,6.99
2021-02-16,ref,40,plt,34,3.98
2021-02-25,ref,40,plt,44,3.59
2021-02-25,ref,40,plt,45,3.59
2021-02-25,ref,40,plt,46,4.37
2021-03-02,ref,40,bkd,49,0.83
2021-03-04,ref,40,bkd,70,2.91
2021-03-04,ref,40,plt,79,4.74
2021-03-04,ref,40,plt,80,4.98
2021-03-04,ref,40,plt,81,4.54
2021-03-09,ref,40,bkd,92,2.47
2021-03-09,ref,40,plt,101,3.16
