,stream,date,start.time,end.time,stream.wrong,temperature,release.rate.ml.min,mass.po4.g,nacl.mg,water.volume.l
1,warm,2021-01-26,10:30,14:30,towr,11.03477778,3.5,10.649,620,2
2,ref,2021-01-26,11:21,15:15,c55,11.54508889,2.7,4.8,620,2
3,warm,2021-01-28,10:25,14:51,towr,8.920138889,6,10.575,624.7,4
4,ref,2021-01-28,11:00,15:30,c55,9.714803922,5.2,10.1948,624.26,4
5,warm,2021-02-04,10:00,14:51,towr,6.451570175,5.3,10.6621,724.82,4
6,ref,2021-02-04,11:08,15:25,c55,8.251990196,4,10.9919,694.25,3.72
7,warm,2021-02-09,8:37,11:04,towr,7.96525,6,10.6965,627.65,4
8,ref,2021-02-09,9:13,12:00,c55,9.510818182,5,10.3315,596.46,3.7
9,warm,2021-02-16,8:02,11:36,towr,9.151333333,8.2,10.2247,737,4
10,ref,2021-02-16,8:50,12:15,c55,9.750038462,8,10.5136,737,3.94
11,warm,2021-02-25,8:00,11:30,towr,8.993820513,8.2,10.7164,737,4
12,ref,2021-02-25,8:37,12:30,c55,10.28564444,7.2,10.2247,737,4
13,warm,2021-03-02,9:09,12:00,towr,9.86419697,8,10.7268,737,4
14,ref,2021-03-02,9:53,13:00,c55,10.10083333,7,10.5653,737,4
15,warm,2021-03-04,10:50,14:03,towr,9.671166667,7.4,10.4252,737,4
16,ref,2021-03-04,11:25,15:28,c55,10.86360417,6.5,10.9902,737,4
17,warm,2021-03-09,10:15,13:14,towr,8.300833333,8,11.462,737,4
18,ref,2021-03-09,10:45,13:46,c55,10.01129167,6.5,9.7863,737,4
