date,stream,meter,background.spc,plt.spc
2021-01-26,ref,0,8.88,14.02
2021-01-26,ref,20,8.99,14.61
2021-01-26,ref,40,9.1,14.61
2021-01-26,ref,65,9.19,15.97
2021-01-26,ref,80,9.37,16.34
2021-01-26,warm,0,7.89,14.77
2021-01-26,warm,20,7.97,16.15
2021-01-26,warm,40,7.99,15.82
2021-01-26,warm,60,7.98,15.67
2021-01-26,warm,80,7.96,16.28
2021-01-28,ref,0,8.49,13.78
2021-01-28,ref,20,8.51,14.27
2021-01-28,ref,40,8.73,14.44
2021-01-28,ref,65,8.62,15.77
2021-01-28,ref,80,8.57,16.38
2021-01-28,warm,0,7.65,14.99
2021-01-28,warm,20,7.71,16.66
2021-01-28,warm,40,7.96,16
2021-01-28,warm,60,7.75,16.12
2021-01-28,warm,80,7.73,16.97
2021-02-04,ref,0,8.14,14.29
2021-02-04,ref,20,8.18,14.72
2021-02-04,ref,40,8.19,14.91
2021-02-04,ref,65,8.22,16.32
2021-02-04,ref,80,8.17,16.76
2021-02-04,warm,0,7.14,15.81
2021-02-04,warm,20,7.22,16.65
2021-02-04,warm,40,7.24,16.76
2021-02-04,warm,60,7.24,16.77
2021-02-04,warm,80,7.3,17.74
2021-02-09,ref,0,8.45,14.65
2021-02-09,ref,20,8.48,14.61
2021-02-09,ref,40,8.54,15.37
2021-02-09,ref,65,8.57,17.37
2021-02-09,ref,80,8.64,17.55
2021-02-09,warm,0,7.41,14.72
2021-02-09,warm,20,7.44,15.65
2021-02-09,warm,40,7.44,16.08
2021-02-09,warm,60,7.42,16.23
2021-02-09,warm,80,7.4,17.47
2021-02-16,ref,0,8.39,17.07
2021-02-16,ref,20,8.42,17.7
2021-02-16,ref,40,8.47,17.88
2021-02-16,ref,65,8.47,20.1
2021-02-16,ref,80,8.54,20.8
2021-02-16,warm,0,7.63,17.22
2021-02-16,warm,20,7.29,17.95
2021-02-16,warm,40,7.7,18.45
2021-02-16,warm,60,7.75,18.45
2021-02-16,warm,80,7.71,19.37
2021-02-25,ref,0,8.44,18.69
2021-02-25,ref,20,8.64,18.59
2021-02-25,ref,40,8.69,19.24
2021-02-25,ref,65,8.75,20.9
2021-02-25,ref,80,8.35,21.7
2021-02-25,warm,0,7.5,17.3
2021-02-25,warm,20,7.23,17.51
2021-02-25,warm,40,7.57,18.62
2021-02-25,warm,60,7.53,18.44
2021-02-25,warm,80,7.59,19.34
2021-03-02,ref,0,7.64,16.25
2021-03-02,ref,20,7.66,16.92
2021-03-02,ref,40,7.69,17
2021-03-02,ref,65,7.66,17.45
2021-03-02,ref,80,7.7,18.15
2021-03-02,warm,0,8.21,16.62
2021-03-02,warm,20,8.32,17.47
2021-03-02,warm,40,8.35,18.04
2021-03-02,warm,60,8.31,23.2
2021-03-02,warm,80,8.29,21.9
2021-03-04,ref,0,8.5,15.95
2021-03-04,ref,20,8.51,17.12
2021-03-04,ref,40,8.55,17.49
2021-03-04,ref,65,8.58,19.12
2021-03-04,ref,80,8.57,19.33
2021-03-04,warm,0,7.57,18.24
2021-03-04,warm,20,7.58,19.31
2021-03-04,warm,40,7.59,19.75
2021-03-04,warm,60,7.62,20.1
2021-03-04,warm,80,7.67,21
2021-03-09,ref,0,8.4,17.1
2021-03-09,ref,20,8.43,17.3
2021-03-09,ref,40,8.48,17.9
2021-03-09,ref,65,8.43,21.3
2021-03-09,ref,80,8.49,24
2021-03-09,warm,0,7.45,19.27
2021-03-09,warm,20,7.45,20.4
2021-03-09,warm,40,7.43,20.7
2021-03-09,warm,60,7.39,21.3
2021-03-09,warm,80,7.42,22.8
