Measurement,batch,Sample number,Temperature,Bottle Letter,subsample #,Tin ID,Dry Mass (g)
Respiration,2,4,4,A,1,,0.1606
Respiration,2,5,4,A,2,,0.1174
Respiration,2,6,4,A,3,,0.1196
Respiration,2,7,4,B,1,,0.1033
Respiration,2,8,4,B,2,,0.0836
Respiration,2,9,4,B,3,,0.1078
Respiration,2,10,4,C,1,,0.1352
Respiration,2,11,4,C,2,,0.1402
Respiration,2,12,4,C,3,,0.1335
Respiration,2,16,8,A,1,,0.1491
Respiration,2,17,8,A,2,,0.1695
Respiration,2,18,8,A,3,,0.1207
Respiration,2,19,8,B,1,,0.2614
Respiration,2,20,8,B,2,,0.1949
Respiration,2,21,8,B,3,,0.2121
Respiration,2,22,8,C,1,,0.2577
Respiration,2,23,8,C,2,,0.2066
Respiration,2,24,8,C,3,,0.2521
Respiration,2,28,12,A,1,,0.2936
Respiration,2,29,12,A,2,,0.2208
Respiration,2,30,12,A,3,,0.2158
Respiration,2,31,12,B,1,,0.3159
Respiration,2,32,12,B,2,,0.2109
Respiration,2,33,12,B,3,,0.1849
Respiration,2,34,12,C,1,,0.1686
Respiration,2,35,12,C,2,,0.1816
Respiration,2,36,12,C,3,,0.1758
Respiration,2,40,16,A,1,,0.1319
Respiration,2,41,16,A,2,,0.1176
Respiration,2,42,16,A,3,,0.1566
Respiration,2,43,16,B,1,,0.1667
Respiration,2,44,16,B,2,,0.3153
Respiration,2,45,16,B,3,,0.1775
Respiration,2,46,16,C,1,,0.1849
Respiration,2,47,16,C,2,,0.1767
Respiration,2,48,16,C,3,,0.1269
Respiration,2,52,20,A,1,,0.2814
Respiration,2,53,20,A,2,,0.1834
Respiration,2,54,20,A,3,,0.1417
Respiration,2,55,20,B,1,,0.1402
Respiration,2,56,20,B,2,,0.2182
Respiration,2,57,20,B,3,,0.1306
Respiration,2,58,20,C,1,,0.1376
Respiration,2,59,20,C,2,,0.245
Respiration,2,60,20,C,3,,0.1228
P uptake,2,4,4,A,1,,0.2623
P uptake,2,5,4,A,2,,0.0489
P uptake,2,6,4,A,3,,0.2433
